model_id,layer,type_a,type_b,space,overlap,sigma_1,sigma_2,angle_1_deg,angle_2_deg,mean_angle_deg,shared_dimension_sigma_ge_0_5
Qwen/Qwen3.5-4B,0,5,9,label_residualized,0.14636858851286172,0.4767056863914141,0.2559079240426411,61.52953468814668,75.17260943300717,68.35107206057693,0
Qwen/Qwen3.5-4B,0,6,7,raw,0.06668778970261745,0.3568513194628516,0.07767055557195862,69.09304979100837,85.54531832271272,77.31918405686054,0
Qwen/Qwen3.5-4B,0,6,7,label_residualized,0.07017249369736397,0.351779594020043,0.12882586939672355,69.40379827341299,82.59825092401955,76.00102459871627,0
Qwen/Qwen3.5-4B,0,6,8,raw,0.09657786256876048,0.4394576822310804,0.005715825890258931,63.93071574720217,89.67250551679626,76.80161063199921,0
Qwen/Qwen3.5-4B,0,6,8,label_residualized,0.15784730995965926,0.5550160008851779,0.0874749031479474,56.28818311039408,84.98164334686643,70.63491322863025,1
Qwen/Qwen3.5-4B,0,6,9,raw,0.10732901970579267,0.4630853978687356,0.01448977889203918,62.41361749847503,89.16976776995966,75.79169263421734,0
Qwen/Qwen3.5-4B,0,6,9,label_residualized,0.12040675059061738,0.48954905068389465,0.03398864745370596,60.68905370487558,88.05221880477514,74.37063625482536,0
Qwen/Qwen3.5-4B,0,7,8,raw,0.3159203465724517,0.7812014596989034,0.14685017027298924,38.629288076051594,81.55556683218464,60.092427454118116,1
Qwen/Qwen3.5-4B,0,7,8,label_residualized,0.3534841725649502,0.8281429442585446,0.14542217507893812,34.091556601096244,81.63827282910158,57.86491471509891,1
Qwen/Qwen3.5-4B,0,7,9,raw,0.5626929248971457,0.911754500656707,0.5423002676806735,24.251052225119302,57.15963425691623,40.705343241017765,2
Qwen/Qwen3.5-4B,0,7,9,label_residualized,0.5707917053128029,0.9225418626233075,0.5389804470786712,22.699439788314017,57.38573960008826,40.04258969420114,2
Qwen/Qwen3.5-4B,0,8,9,raw,0.3816405920084363,0.801459519649977,0.34776978359153177,36.73029689024004,69.64903435483122,53.18966562253563,1
Qwen/Qwen3.5-4B,0,8,9,label_residualized,0.4059024719467876,0.8481299931476951,0.30410599898204216,31.991144061552685,72.29561324358167,52.14337865256718,1
Qwen/Qwen3.5-4B,8,1,2,raw,0.15872156033399143,0.5517945274198748,0.11386799452638074,56.50978764045137,83.46166297756193,69.98572530900665,1
Qwen/Qwen3.5-4B,8,1,2,label_residualized,0.2022219533718929,0.6236073295698144,0.12473093141074004,51.41995800525855,82.83478231927103,67.12737016226478,1
Qwen/Qwen3.5-4B,8,1,3,raw,0.232160622414426,0.6802219309653488,0.040241389919140544,47.13901205318675,87.69371545559903,67.41636375439289,1
Qwen/Qwen3.5-4B,8,1,3,label_residualized,0.21535134140221254,0.65627939693942,0.00018962398673051702,48.983268058685894,89.98913534580079,69.48620170224333,1
Qwen/Qwen3.5-4B,8,1,4,raw,0.22550349758125277,0.6711795285261848,0.02291365640559806,47.84183322383267,88.68702928491147,68.26443125437207,1
