conflict_type_idx,layer,n,mean_cosine_delta,frac_cosine_new,mean_centered_cosine_delta,frac_centered_cosine_new,mean_projection,frac_projection_new
8,22,94,0.011683944442235483,0.6595744680851063,0.02738718996677815,0.648936170212766,0.8673825659875646,0.6595744680851063
8,23,94,0.014287010694609047,0.6382978723404256,0.027582122942911576,0.648936170212766,0.9784602906283324,0.648936170212766
8,24,94,0.014873611150482129,0.6808510638297872,0.02816714734003404,0.6595744680851063,1.0973264664904587,0.6702127659574468
8,25,94,0.014485032513337834,0.6808510638297872,0.027990937764192612,0.6702127659574468,1.1681979090670744,0.6914893617021277
8,26,94,0.011029423521905429,0.6595744680851063,0.02913228439240565,0.648936170212766,1.2827184758464183,0.6595744680851063
8,27,94,0.014257832231551233,0.6702127659574468,0.027187559887000202,0.6808510638297872,1.3906940879049983,0.6702127659574468
8,28,94,0.012956894283868788,0.6808510638297872,0.025712921321516053,0.6808510638297872,1.551273198960796,0.6702127659574468
8,29,94,0.013435212247633313,0.6808510638297872,0.02492294392578992,0.6914893617021277,1.677468360633692,0.6702127659574468
8,30,94,0.01297019025267948,0.7021276595744681,0.023759218612550047,0.7127659574468085,1.9533923230843704,0.6914893617021277
8,31,94,0.014897852704430696,0.7021276595744681,0.02366248610675572,0.6914893617021277,6.901694492169206,0.7021276595744681
9,0,70,1.6676165744125956e-06,0.4857142857142857,0.00421068764699197,0.4857142857142857,5.005417898661796e-05,0.4714285714285714
9,1,70,-8.212920920312529e-06,0.5857142857142857,0.002716188391214729,0.5571428571428572,-0.0005316595278664124,0.5714285714285714
