model_id,layer,conflict_type_idx,metric,n,roc_auc
Qwen/Qwen3.5-4B,10,8,offaxis_fraction,93,0.5471380471380471
Qwen/Qwen3.5-4B,10,9,position_t,69,0.38846153846153847
Qwen/Qwen3.5-4B,10,9,log_offaxis_ratio,69,0.2423076923076923
Qwen/Qwen3.5-4B,10,9,offaxis_fraction,69,0.4038461538461539
Qwen/Qwen3.5-4B,11,1,position_t,95,0.6234329797492767
Qwen/Qwen3.5-4B,11,1,log_offaxis_ratio,95,0.583413693346191
Qwen/Qwen3.5-4B,11,1,offaxis_fraction,95,0.5486981677917068
Qwen/Qwen3.5-4B,11,2,position_t,89,0.5920634920634921
Qwen/Qwen3.5-4B,11,2,log_offaxis_ratio,89,0.4534391534391534
Qwen/Qwen3.5-4B,11,2,offaxis_fraction,89,0.5423280423280423
Qwen/Qwen3.5-4B,11,3,position_t,88,0.48101265822784806
Qwen/Qwen3.5-4B,11,3,log_offaxis_ratio,88,0.7229254571026723
Qwen/Qwen3.5-4B,11,3,offaxis_fraction,88,0.5555555555555556
Qwen/Qwen3.5-4B,11,4,position_t,91,0.48432601880877746
Qwen/Qwen3.5-4B,11,4,log_offaxis_ratio,91,0.49477533960292575
Qwen/Qwen3.5-4B,11,4,offaxis_fraction,91,0.5015673981191222
Qwen/Qwen3.5-4B,11,5,position_t,84,0.5192743764172336
Qwen/Qwen3.5-4B,11,5,log_offaxis_ratio,84,0.608843537414966
Qwen/Qwen3.5-4B,11,5,offaxis_fraction,84,0.546485260770975
Qwen/Qwen3.5-4B,11,6,position_t,93,0.6717703349282296
Qwen/Qwen3.5-4B,11,6,log_offaxis_ratio,93,0.6655502392344499
Qwen/Qwen3.5-4B,11,6,offaxis_fraction,93,0.6961722488038278
Qwen/Qwen3.5-4B,11,7,position_t,90,0.4697420634920635
Qwen/Qwen3.5-4B,11,7,log_offaxis_ratio,90,0.5317460317460317
Qwen/Qwen3.5-4B,11,7,offaxis_fraction,90,0.6577380952380953
Qwen/Qwen3.5-4B,11,8,position_t,93,0.6026936026936027
Qwen/Qwen3.5-4B,11,8,log_offaxis_ratio,93,0.5269360269360269
Qwen/Qwen3.5-4B,11,8,offaxis_fraction,93,0.537598204264871
Qwen/Qwen3.5-4B,11,9,position_t,69,0.5769230769230769
Qwen/Qwen3.5-4B,11,9,log_offaxis_ratio,69,0.36923076923076925
Qwen/Qwen3.5-4B,11,9,offaxis_fraction,69,0.5346153846153846
Qwen/Qwen3.5-4B,12,1,position_t,95,0.6099324975891995
Qwen/Qwen3.5-4B,12,1,log_offaxis_ratio,95,0.5544840887174542
Qwen/Qwen3.5-4B,12,1,offaxis_fraction,95,0.5048216007714561
Qwen/Qwen3.5-4B,12,2,position_t,89,0.5841269841269842
Qwen/Qwen3.5-4B,12,2,log_offaxis_ratio,89,0.47777777777777786
Qwen/Qwen3.5-4B,12,2,offaxis_fraction,89,0.5126984126984128
Qwen/Qwen3.5-4B,12,3,position_t,88,0.46976090014064703
Qwen/Qwen3.5-4B,12,3,log_offaxis_ratio,88,0.7285513361462729
Qwen/Qwen3.5-4B,12,3,offaxis_fraction,88,0.5246132208157525
Qwen/Qwen3.5-4B,12,4,position_t,91,0.46185997910135834
Qwen/Qwen3.5-4B,12,4,log_offaxis_ratio,91,0.5047021943573669
Qwen/Qwen3.5-4B,12,4,offaxis_fraction,91,0.47492163009404387
Qwen/Qwen3.5-4B,12,5,position_t,84,0.5153061224489797
Qwen/Qwen3.5-4B,12,5,log_offaxis_ratio,84,0.6400226757369615
Qwen/Qwen3.5-4B,12,5,offaxis_fraction,84,0.5674603174603174
Qwen/Qwen3.5-4B,12,6,position_t,93,0.6789473684210525
Qwen/Qwen3.5-4B,12,6,log_offaxis_ratio,93,0.6732057416267941
Qwen/Qwen3.5-4B,12,6,offaxis_fraction,93,0.7133971291866028
Qwen/Qwen3.5-4B,12,7,position_t,90,0.42113095238095233
